time,failed_transactions,past_liquidity
0,Int64[],1.0e11
1,Int64[],9.7064e10
2,Int64[],9.453218844e10
3,Int64[],9.2422438066e10
4,Int64[],9.0570236174e10
5,Int64[],8.8923119941e10
6,Int64[],8.7422420038e10
7,Int64[],8.599616153e10
8,Int64[],8.4678976692e10
9,Int64[],8.3451934779e10
10,Int64[],8.2300120614e10
11,Int64[],8.918676943e10
12,Int64[],9.0716138898e10
13,Int64[],9.1881479119e10
14,Int64[],9.2844911748e10
15,Int64[],9.3666454612e10
16,Int64[],9.4426945689e10
17,Int64[],9.5108563665e10
18,Int64[],9.5762152251e10
19,Int64[],9.6338827396e10
20,Int64[],9.6881045261e10
21,Int64[],9.7361185976e10
22,Int64[],9.781931722e10
23,Int64[],9.827244766e10
24,Int64[],9.8717582281e10
25,Int64[],9.9116774256e10
26,Int64[],9.9447908838e10
27,Int64[],9.9810903774e10
28,Int64[],1.00118102388e11
29,Int64[],1.00424244602e11
30,Int64[],1.0070600862e11
31,Int64[],1.00970893062e11
32,Int64[],1.01236904619e11
33,Int64[],1.01452791382e11
34,Int64[],1.01635449874e11
35,Int64[],1.01824945903e11
36,Int64[],1.02012565667e11
37,Int64[],1.02183537542e11
38,Int64[],1.02347688213e11
39,Int64[],1.02503170841e11
40,Int64[],1.02656040969e11
41,Int64[],1.02794208337e11
42,Int64[],1.02910258881e11
43,Int64[],1.03043224726e11
44,Int64[],1.03165510703e11
45,Int64[],1.03282071576e11
46,Int64[],1.03381910246e11
47,Int64[],1.03487405623e11
48,Int64[],1.03585208387e11
49,Int64[],1.03688975483e11
50,Int64[],1.03781673321e11
51,Int64[],1.03883636527e11
52,Int64[],1.03983010229e11
53,Int64[],1.04074949945e11
54,Int64[],1.0416689582e11
55,Int64[],1.04252069067e11
56,Int64[],1.04342878066e11
57,Int64[],1.04420013115e11
58,Int64[],1.04495539187e11
59,Int64[],1.04563281366e11
60,Int64[],1.04631616472e11
61,Int64[],1.0468582483e11
62,Int64[],1.04739585089e11
63,Int64[],1.04784661079e11
64,Int64[],1.04826053209e11
65,Int64[],1.04856895946e11
66,Int64[],1.04883186974e11
67,Int64[],1.04907517263e11
68,Int64[],1.04924681674e11
69,Int64[],1.04940428893e11
70,Int64[],1.04953115756e11
71,Int64[],1.04962615952e11
72,Int64[],1.04971192528e11
73,Int64[],1.04976219246e11
74,Int64[],1.04980740444e11
75,Int64[],1.04984750759e11
76,Int64[],1.04989193451e11
77,Int64[],1.04992374641e11
78,Int64[],1.04992374641e11
79,Int64[],1.04995441819e11
80,Int64[],1.049964034e11
81,Int64[],1.049964034e11
82,Int64[],1.04997372907e11
83,Int64[],1.04997372907e11
84,Int64[],1.04997372907e11
85,Int64[],1.04997372907e11
86,Int64[],1.04997372907e11
87,Int64[],1.04999431454e11
88,Int64[],1.04999431454e11
89,Int64[],1.04999431454e11
90,Int64[],1.04999431454e11
91,Int64[],1.04999431454e11
92,Int64[],1.04999431454e11
93,Int64[],1.04999431454e11
94,Int64[],1.04999431454e11
95,Int64[],1.04999431454e11
96,Int64[],1.04999431454e11
97,Int64[],1.04999431454e11
98,Int64[],1.04999431454e11
99,Int64[],1.04999431454e11
100,Int64[],1.04999431454e11
